player,rank,age,player_point,tournament_played,next_best
Daniel Altmaier,79,23,797,46,0
Brandon Nakashima,80,20,793,22,0
Richard Gasquet,81,35,782,28,0
Facundo Bagnis,82,32,781,35,10
Mikael Ymer,83,23,773,31,0
Ricardas Berankis,84,31,771,28,8
Joao Sousa,85,32,762,36,0
Holger Rune,86,18,750,38,10
Henri Laaksonen,87,29,741,31,0
Andy Murray,88,34,733,20,0
Alexei Popyrin,89,22,721,31,6
Kevin Anderson,90,35,719,22,0
Jiri Lehecka,91,20,712,42,7
Marco Cecchinato,92,29,711,30,0
Yoshihito Nishioka,93,26,705,32,0
Peter Gojowczyk,94,32,703,29,0
Gianluca Mager,95,27,703,38,0
Alejandro Tabilo,96,24,691,41,7
Thanasi Kokkinakis,97,25,681,24,0
Guido Pella,98,31,676,23,0
Jaume Munar,99,24,675,38,0
Francisco Cerundolo,100,23,668,40,0
Hugo Dellien,101,28,648,40,12
Denis Kudla,102,29,644,35,10
Daniel Elahi Galan,103,25,636,36,6
Pablo Cuevas,104,36,635,26,0
Carlos Taberner,105,24,633,35,0
Taro Daniel,106,29,625,35,0
Yannick Hanfmann,107,30,625,34,0
Corentin Moutet,108,22,620,27,0
Norbert Gombos,109,31,618,36,0
Stefano Travaglia,110,30,614,45,0
Pierre-Hugues Herbert,111,30,611,31,10
Feliciano Lopez,112,40,603,28,0
Quentin Halys,113,25,602,40,0
Sam Querrey,114,34,595,19,0
Steve Johnson,115,32,594,29,0
Thiago Monteiro,116,27,593,36,0
Juan Pablo Varillas,117,26,592,39,14
Bernabe Zapata Miralles,118,25,566,38,16
Juan Manuel Cerundolo,119,20,561,38,3
Radu Albot,120,32,559,35,0
Stefan Kozlov,121,24,558,29,3
Andreas Seppi,122,38,542,33,10
Tomas Martin Etcheverry,123,22,537,45,0
Liam Broady,124,28,528,39,8
Aleksandar Vukic,125,25,526,43,0
Nikola Milojevic,126,26,526,34,0
Andrej Martin,127,32,520,46,8
Mats Moraing,128,29,519,41,4
Vasek Pospisil,129,31,501,24,0
Juan Ignacio Londero,130,28,496,30,0
Elias Ymer,131,25,496,37,0
Nick Kyrgios,132,26,493,10,0
Aljaz Bedene,133,32,485,17,0
Lucas Pouille,134,28,482,32,5
Ernesto Escobedo,135,25,480,32,0
Philipp Kohlschreiber,136,38,478,17,0
Damir Dzumhur,137,29,466,37,0
Zdenek Kolar,138,25,466,47,0
Gilles Simon,139,37,462,34,0
Dennis Novak,140,28,461,36,0
Emilio Gomez,141,30,459,41,7
Nicolas Jarry,142,26,457,33,0
Roman Safiullin,143,24,453,39,4
Bjorn Fratangelo,144,28,446,29,4
Tomas Barrios Vera,145,24,446,34,4
Jack Draper,146,20,440,26,1
Jack Sock,147,29,429,20,0
Egor Gerasimov,148,29,422,36,10
Christopher O'Connell,149,27,420,35,10
Fernando Verdasco,150,38,415,32,0
Salvatore Caruso,151,29,408,35,7
Hugo Grenier,152,25,408,45,5
Tennys Sandgren,153,30,396,34,0
Mikhail Kukushkin,154,34,386,29,5
Dominic Stricker,155,19,386,21,0
Milos Raonic,156,31,384,10,0
Christopher Eubanks,157,25,380,32,8
Tomas Machac,158,21,379,31,0
Chun-hsin Tseng,159,20,379,39,0
Jeremy Chardy,160,35,378,19,0
Nuno Borges,161,25,372,28,0
Altug Celikbilek,162,25,366,37,6
Max Purcell,163,23,365,27,2
Mitchell Krueger,164,28,365,36,0
Vit Kopriva,165,24,352,46,0
Dmitry Popko,166,25,351,39,5
Borna Coric,167,25,349,11,0
Pavel Kotov,168,23,349,39,8
Franco Agamenone,169,28,348,31,2
Ramkumar Ramanathan,170,27,348,38,7
Jay Clarke,171,23,347,40,0
Gregoire Barrere,172,28,346,28,0
Mario Vilella Martinez,173,26,342,28,0
Thomas Fabbiano,174,32,341,35,0
Camilo Ugo Carabelli,175,22,341,39,4
Daniel Masur,176,27,338,33,0
Flavio Cobolli,177,19,338,28,0
Blaz Rola,178,31,337,35,8
Marc-Andrea Huesler,179,25,333,41,3
Tim Van Rijthoven,180,24,331,41,0
Enzo Couacaud,181,27,330,37,0
Zizou Bergs,182,22,330,34,3
Facundo Mena,183,29,327,40,0
Gian Marco Moroni,184,24,327,41,0
Federico Gaio,185,30,325,45,8
Alessandro Giannessi,186,31,317,30,4
Kacper Zuk,187,23,314,34,2
Alex Bolt,188,29,313,24,0
Jesper De Jong,189,21,312,41,1
Cem Ilkel,190,26,311,35,0
Jozef Kovalik,191,29,311,29,0
Jurij Rodionov,192,22,310,37,0
Dimitar Kuzmanov,193,28,307,31,0
Maximilian Marterer,194,26,300,30,0
Marc Polmans,195,24,299,40,4
Nicolas Kicker,196,29,297,25,6
Marco Trungelliti,197,32,296,22,0
Constant Lestienne,198,29,291,29,4
Manuel Guinard,199,26,290,46,0
Filip Horansky,200,29,289,36,0
Andrea Pellegrino,201,24,288,39,0
Gastao Elias,202,31,285,31,0
Evgeny Donskoy,203,31,284,34,4
Lukas Lacko,204,34,279,24,0
Thiago Agustin Tirante,205,20,276,29,0
Felipe Meligeni Rodrigues Alves,206,24,276,39,6
Lorenzo Giustino,207,30,275,48,6
Jason Kubler,208,28,275,24,0
J.J. Wolf,209,23,274,20,0
Alexandre Muller,210,25,274,41,0
Sebastian Ofner,211,25,270,31,4
Mirza Basic,212,30,270,33,3
Thiago Seyboth Wild,213,21,267,38,4
Illya Marchenko,214,34,267,31,7
Jo-Wilfried Tsonga,215,36,265,20,0
Antoine Hoang,216,26,262,35,0
Renzo Olivo,217,29,260,47,2
Cedrik-Marcel Stebe,218,31,260,24,0
Nino Serdarusic,219,25,260,50,4
Vitaliy Sachko,220,24,258,41,2
Timofey Skatov,221,21,257,41,2
Brayden Schnur,222,26,256,35,14
Jason Jung,223,32,253,33,0
Juan Pablo Ficovich,224,25,252,38,0
Pedro Cachin,225,26,252,40,4
Santiago Fa Rodriguez Taverna,226,22,251,42,0
Alexander Ritschard,227,27,243,34,2
Sergiy Stakhovsky,228,36,242,29,3
Yuichi Sugita,229,33,241,22,0
Andrey Kuznetsov,230,31,240,21,0
Borna Gojo,231,24,239,31,0
Mathias Bourgue,232,28,238,26,0
Stan Wawrinka,233,36,237,11,0
Yasutaka Uchiyama,234,29,233,35,0
Ryan Peniston,235,26,233,33,0
Maxime Janvier,236,25,232,46,0
Giulio Zeppieri,237,20,231,31,0
Kimmer Coppejans,238,28,231,39,14
Sumit Nagal,239,24,228,29,0
Zsombor Piros,240,22,228,31,2
Matheus Pucinelli De Almeida,241,20,228,34,3
Andrea Collarini,242,30,227,45,0
Frederico Ferreira Silva,243,26,225,37,4
Michael Mmoh,244,24,224,21,0
Andrea Arnaboldi,245,34,224,43,3
Attila Balazs,246,33,223,16,0
Geoffrey Blancaneaux,247,23,222,41,3
Nicola Kuhn,248,21,220,33,0
Matthias Bachinger,249,34,217,25,0
Pedro Sousa,250,33,216,26,0
Kaichi Uchida,251,27,216,44,2
Joao Menezes,252,25,215,30,5
Antoine Escoffier,253,30,215,43,0
Robin Haase,254,34,213,28,0
Guido Andreozzi,255,30,213,28,0
Matthew Ebden,256,34,212,21,0
Gonzalo Lama,257,28,210,26,2
Duje Ajdukovic,258,21,209,33,1
Kyle Edmund,259,27,206,11,0
Marius Copil,260,31,204,26,0
Hiroki Moriya,261,31,202,37,2
Riccardo Bonadio,262,28,202,53,0
Viktor Troicki,263,36,199,18,0
Nicolas Mejia,264,22,198,38,2
Igor Marcondes,265,24,197,24,0
Evgeny Karlovskiy,266,27,197,36,5
Yosuke Watanuki,267,23,196,29,2
Lukas Klein,268,23,191,27,2
Evgenii Tiurnev,269,24,190,32,0
Goncalo Oliveira,270,27,188,55,0
Andrea Vavassori,271,26,186,24,0
Tung-Lin Wu,272,23,186,34,0
Gerald Melzer,273,31,183,14,0
Jelle Sels,274,26,181,41,1
Go Soeda,275,37,180,29,0
Luca Nardi,276,18,178,26,0
Raul Brancaccio,277,24,178,43,0
Prajnesh Gunneswaran,278,32,177,30,0
Genaro Alberto Olivieri,279,23,176,38,0
Nerman Fatic,280,27,174,34,0
Orlando Luz,281,24,174,44,0
Tobias Kamke,282,35,173,32,0
Javier Barranco Cosano,283,23,173,44,0
Alexander Shevchenko,284,21,172,36,0
Arthur Cazaux,285,19,171,22,0
Tristan Lamasine,286,29,171,37,4
Filip Cristian Jianu,287,20,171,45,2
Lukas Rosol,288,36,170,33,0
Julian Lenz,289,29,170,40,0
Denis Istomin,290,35,168,32,0
Dalibor Svrcina,291,19,168,27,0
Roberto Marcora,292,32,166,36,0
Facundo Diaz Acosta,293,21,166,38,1
Evan Furness,294,23,165,42,2
Nicolas Moreno De Alboran,295,24,164,26,1
Steven Diez,296,30,162,37,3
Eduard Esteve Lobato,297,27,162,32,2
Johan Nikles,298,24,162,35,0
Aidan McHugh,299,21,162,39,4
Nikolas Sanchez Izquierdo,300,22,162,47,1
Marcel Granollers,301,35,161,12,0
Malek Jaziri,302,38,161,32,0
Ruben Bemelmans,303,34,159,32,0
Nicolas Alvarez Varona,304,20,159,34,0
Joao Domingues,305,28,158,31,0
Mikael Torpegaard,306,27,157,29,0
Paolo Lorenzi,307,40,156,28,0
Zhizhen Zhang,308,25,155,26,0
Emilio Nava,309,20,155,24,0
Peter Polansky,310,33,154,31,0
Jonas Forejtek,311,20,154,39,3
Lucas Miedler,312,25,154,42,4
Nick Hardt,313,21,151,40,2
Hernan Casanova,314,28,150,42,3
Thai-Son Kwiatkowski,315,27,149,27,0
Alexey Vatutin,316,29,149,43,3
Francesco Forti,317,22,148,39,0
Paul Jubb,318,22,147,25,0
Luciano Darderi,319,20,142,24,0
Bernard Tomic,320,29,141,21,0
Miljan Zekic,321,33,141,32,3
Ernests Gulbis,322,33,140,25,0
Viktor Durasovic,323,24,140,38,2
Benjamin Hassan,324,27,139,28,0
Kyrian Jacquet,325,20,139,30,1
Dragos Nicolae Madaras,326,24,139,38,2
Pedja Krstin,327,27,136,37,0
Alexis Galarneau,328,23,135,24,0
Tatsuma Ito,329,33,134,22,0
Oriol Roca Batalla,330,28,134,43,6
Yu Hsiou Hsu,331,22,134,43,6
Leonardo Mayer,332,34,133,13,0
Daniel Dutra da Silva,333,33,133,34,0
Denis Yevseyev,334,28,132,43,4
Filip Misolic,335,20,130,19,0
Ivo Karlovic,336,43,129,14,0
Rinky Hijikata,337,21,129,31,0
Michael Geerts,338,27,128,36,0
Gijs Brouwer,339,25,128,42,4
Matteo Viola,340,34,128,43,4
Daniel Michalski,341,22,127,38,0
Nicolas Alvarez,342,25,126,32,1
Matteo Martineau,343,23,126,37,4
Martin Klizan,344,32,124,13,0
Calvin Hemery,345,27,124,26,1
Laurent Lokoli,346,27,124,28,1
Akira Santillan,347,24,122,24,0
Francisco Comesana,348,21,122,30,0
Sebastian Fanselow,349,30,122,31,2
Louis Wessels,350,23,122,35,0
Yshai Oliel,351,22,122,36,0
Adrian Menendez-Maceiras,352,36,120,28,0
Mohamed Safwat,353,31,120,36,0
Danilo Petrovic,354,30,119,27,0
Matteo Arnaldi,355,21,119,29,0
Alastair Gray,356,23,118,18,0
Christian Harrison,357,27,116,17,0
Roberto Cid Subervi,358,28,116,37,0
Facundo Juarez,359,24,116,39,0
Dustin Brown,360,37,115,17,0
Alexis Gautier,361,24,115,30,1
Ergi Kirkin,362,23,114,37,1
Tommy Robredo,363,39,113,16,0
Fabian Marozsan,364,22,113,37,1
Yunseong Chung,365,23,112,29,4
Dudi Sela,366,36,111,11,0
Aleksandar Kovacevic,367,23,110,18,0
Alex Rybakov,368,25,110,28,2
Mukund Sasikumar,369,25,110,40,4
Alvaro Lopez San Martin,370,24,109,23,0
Alexander Erler,371,24,109,33,0
Aldin Setkic,372,34,109,42,0
Rudolf Molleker,373,21,108,28,0
Dan Added,374,22,108,43,2
Zachary Svajda,375,19,107,17,0
Shintaro Mochizuki,376,18,107,26,0
Duckhee Lee,377,23,107,34,0
Pedro Sakamoto,378,28,107,35,1
Darian King,379,29,106,16,0
Ulises Blanch,380,23,106,23,0
Teymuraz Gabashvili,381,36,106,37,0
David Poljak,382,25,106,43,0
Roberto Quiroz,383,30,106,44,3
Bradley Klahn,384,31,105,12,0
Gabriel Decamps,385,22,105,16,0
Luca Van Assche,386,17,105,18,0
Aziz Dougaz,387,24,105,36,0
Filip Peliwo,388,28,104,35,0
Juan Bautista Torres,389,19,103,24,0
Lucas Gerch,390,27,103,39,1
Skander Mansouri,391,26,103,40,0
Filippo Baldi,392,26,102,28,0
Michael Vrbensky,393,22,102,35,1
Oliver Crawford,394,22,101,28,1
Gonzalo Villanueva,395,27,101,41,2
Mats Rosenkranz,396,23,101,50,1
Martin Cuevas,397,30,100,24,0
Nicholas David Ionel,398,19,100,36,0
Pol Martin Tiffon,399,22,100,43,1
JC Aragone,400,26,99,34,0
Uladzimir Ignatik,401,31,99,39,2
Gilbert Klier Junior,402,21,98,35,1
Michail Pervolarakis,403,25,98,37,2
Henri Squire,404,21,97,21,0
Igor Sijsling,405,34,96,25,0
Yannick Maden,406,32,96,26,0
Dane Sweeny,407,21,96,31,1
Alexandar Lazarov,408,24,96,35,2
Lucas Catarina,409,25,96,41,2
Otto Virtanen,410,20,94,23,0
Adrian Andreev,411,20,94,25,0
Stefano Napolitano,412,26,94,27,0
Elliot Benchetrit,413,23,94,30,0
Giovanni Fonio,414,23,94,34,1
Peter Heller,415,29,93,37,7
Yanki Erel,416,21,92,24,1
Oleksii Krutykh,417,21,92,31,2
Georgii Kravchenko,418,21,92,33,1
Yan Bondarevskiy,419,21,92,38,0
Yan Bai,420,32,91,15,0
Hady Habib,421,23,91,24,0
Christopher Heyman,422,28,91,34,0
Elmar Ejupovic,423,29,90,30,2
Cristian Rodriguez,424,31,90,32,0
Sandro Ehrat,425,30,89,23,1
Khumoyun Sultanov,426,23,89,30,0
Sho Shimabukuro,427,24,88,27,1
Edoardo Lavagno,428,23,87,24,0
Billy Harris,429,27,87,25,0
Marek Gengel,430,26,87,41,1
Blaz Kavcic,431,35,85,8,0
Govind Nanda,432,21,84,12,0
Gustavo Heide,433,20,84,19,0
Mate Valkusz,434,23,84,20,0
Marvin Moeller,435,23,84,25,0
Carlos Gomez-Herrera,436,31,84,30,2
Matias Zukas,437,25,84,38,1
Zane Khan,438,20,83,12,0
Jakub Paul,439,22,83,34,0
Matthieu Perchicot,440,29,83,45,1
Roberto Ortega-Olmedo,441,30,83,45,2
Mischa Zverev,442,34,82,20,0
Dayne Kelly,443,31,82,22,0
Jonathan Mridha,444,26,82,30,1
Antoine Bellier,445,25,82,35,1
Ivan Nedelko,446,35,82,39,1
Jose Fco. Vidal Azorin,447,28,82,46,1
Jeroen Vanneste,448,28,81,33,1
Nick Chappell,449,29,81,40,0
Harold Mayot,450,20,80,22,0
Alejandro Gonzalez,451,33,80,37,2
Mateus Alves,452,21,80,38,1
Andrew Harris,453,28,79,16,0
Shintaro Imai,454,28,79,31,1
Juan Pablo Paz,455,27,79,38,0
Corentin Denolly,456,24,79,42,2
Rio Noguchi,457,23,79,46,3
Carlos Gimeno Valero,458,20,78,15,0
Anton Matusevich,459,20,78,20,0
JiSung Nam,460,28,78,23,0
Viktor Galovic,461,31,78,24,0
Ivan Gakhov,462,25,78,40,2
Oscar Jose Gutierrez,463,28,78,43,0
Markus Eriksson,464,32,77,34,0
Christian Langmo,465,25,77,42,0
Shuichi Sekiguchi,466,30,76,21,0
Moez Echargui,467,29,76,32,0
Damien Wenger,468,21,76,32,1
Titouan Droguet,469,20,75,22,0
Valentin Vacherot,470,23,75,24,0
Jacopo Berrettini,471,23,75,33,0
Bogdan Bobrov,472,24,75,43,2
Janko Tipsarevic,473,37,74,8,0
Nicolas Barrientos,474,34,74,15,0
Renta Tokuda,475,23,74,24,0
Donald Young,476,32,73,22,0
Alexander Weis,477,24,73,43,0
Hyeon Chung,478,25,71,4,0
Pawel Cias,479,28,71,20,0
Tiago Cacao,480,24,71,44,1
Alejandro Moro Canas,481,21,70,14,0
Arthur Fils,482,17,70,20,0
Matias Franco Descotte,483,27,70,31,0
Nicolas Mahut,484,40,69,6,0
Petros Chrysochos,485,25,69,20,0
Guy Den Ouden,486,19,69,20,0
Noah Rubin,487,26,68,21,0
Keegan Smith,488,23,68,13,0
Francesco Passaro,489,21,68,26,0
Alessandro Bega,490,31,68,34,1
Guillermo Garcia-Lopez,491,38,67,15,0
Li Tu,492,25,66,11,0
Maximilian Neuchrist,493,30,66,29,0
Ben Patael,494,24,66,32,0
Vladyslav Orlov,495,26,66,36,0
Alibek Kachmazov,496,19,65,21,0
Luca Potenza,497,21,65,27,0
Vasil Kirkov,498,22,65,28,2
Bastian Malla,499,25,65,29,1
Omni Kumar,500,20,64,35,2
Kenny De Schepper,501,34,64,37,0
Carlos Sanchez Jover,502,21,64,42,2
Jose Hernandez-Fernandez,503,31,63,17,0
Naoki Nakagawa,504,25,63,19,0
Baptiste Crepatte,505,27,63,27,0
Edan Leshem,506,24,63,33,2
Tak Khunn Wang,507,30,62,24,0
Sanjar Fayziev,508,27,62,34,2
Oleg Prihodko,509,24,62,37,0
Riccardo Balzerani,510,23,62,39,1
Clement Chidekh,511,21,61,7,0
Sam Riffice,512,23,61,8,0
Murkel Dellien,513,24,61,18,0
Pedro Boscardin Dias,514,19,61,23,0
Pablo Llamas Ruiz,515,19,61,23,0
Yuta Shimizu,516,22,61,27,1
Eric Vanshelboim,517,20,61,29,3
Benjamin Lock,518,29,61,43,1
Tobias Simon,519,30,61,44,2
Andrey Chepelev,520,23,61,49,0
John-Patrick Smith,521,33,60,11,0
Ryan Harrison,522,29,60,14,0
Johannes Haerteis,523,26,60,30,0
Clement Tabur,524,22,60,32,1
Bogdan Ionut Apostol,525,26,60,34,1
Timo Stodder,526,25,59,20,0
Jose Pereira,527,31,59,20,0
Alejandro Gomez,528,30,59,29,0
Pol Toledo Bague,529,27,59,39,3
Brandon Holt,530,23,58,12,0
Felix Gill,531,19,58,21,0
Quentin Folliot,532,23,58,31,0
Arthur De Greef,533,29,57,10,0
Liam Draxl,534,20,57,21,0
Stuart Parker,535,24,57,22,0
Konstantin Kravchuk,536,37,57,25,0
Jeremy Jahn,537,31,57,26,0
Julian Ocleppo,538,24,57,27,0
Roy Smith,539,23,57,30,0
Gergely Madarasz,540,27,57,30,0
Adam Pavlasek,541,27,57,31,0
David Pichler,542,26,57,37,2
Juncheng Shang,543,17,56,10,0
Jan Choinski,544,25,56,12,0
Valentin Royer,545,20,56,23,0
Roman Andres Burruchaga,546,20,56,24,0
Gage Brymer,547,27,56,44,0
Sadio Doumbia,548,31,55,21,0
Lukas Neumayer,549,19,55,24,0
Mariano Navone,550,21,55,31,1
Ben Shelton,551,19,54,8,0
Peter Torebko,552,34,54,19,0
Maxime Chazal,553,28,54,26,0
Alex Hernandez,554,22,54,28,0
Mattia Bellucci,555,20,54,29,0
Ugo Blanchet,556,23,54,30,0
Jaimee Floyd Angele,557,21,54,30,0
Patrick Kypson,558,22,53,11,0
Federico Arnaboldi,559,21,53,20,0
Cezar Cretu,560,20,53,22,0
Andrew Paulson,561,20,53,25,0
Peter Fajta,562,19,53,27,0
Brydan Klein,563,32,52,16,0
Seong-chan Hong,564,24,52,21,0
Tim Handel,565,25,52,24,0
Maxime Hamou,566,26,52,34,1
Simone Roncalli,567,25,52,35,1
Aleksandr Nedovyesov,568,35,51,16,0
Charles Broom,569,23,51,17,0
Jeremy Beale,570,27,51,20,0
Jules Okala,571,24,51,21,0
Alejo Lorenzo Lingua Lavallen,572,20,51,25,0
Alex Marti Pujolras,573,23,51,33,0
Zhe Li,574,35,50,14,0
James Ward,575,35,50,15,0
Agustin Velotti,576,29,50,15,0
Kevin King,577,31,50,19,0
Artem Dubrivnyy,578,23,50,24,0
Simon Carr,579,22,50,28,0
Pavel Nejedly,580,29,50,33,1
Felix Corwin,581,25,50,38,1
Joao Lucas Reis Da Silva,582,21,50,39,0
Patrik Rikl,583,23,49,19,0
Remy Bertola,584,23,49,21,0
Sidharth Rawat,585,28,49,26,0
Danylo Kalenichenko,586,28,49,30,0
Yuki Bhambri,587,29,48,4,0
Jurgen Briand,588,23,48,17,0
Nam Hoang Ly,589,25,48,19,0
Giovanni Mpetshi Perricard,590,18,48,21,0
Marko Tepavac,591,27,48,22,0
Lukas Krainer,592,21,48,28,0
Strong Kirchheimer,593,26,48,36,1
Eliakim Coulibaly,594,19,47,17,0
Michael Redlicki,595,28,47,19,0
Alberto Barroso Campos,596,25,47,23,0
Beibit Zhukayev,597,21,47,23,0
Gauthier Onclin,598,21,47,27,0
Thomaz Bellucci,599,34,46,16,0
Saketh Myneni,600,34,46,17,0
Christian Lindell,601,30,46,20,0
Jan Satral,602,31,46,21,0
Kyle Seelig,603,24,46,22,0
Diego Hidalgo,604,28,46,28,0
Carlos Lopez Montagud,605,21,46,37,1
Wilson Leite,606,30,46,44,0
Yen-Hsun Lu,607,38,45,4,0
John McNally,608,23,45,15,0
Rafael Matos,609,26,45,19,0
Evan King,610,29,45,20,0
Stefan Palosi,611,22,45,24,0
Alexander Donski,612,23,45,34,0
Joris De Loore,613,28,44,9,0
Matija Pecotic,614,32,44,12,0
Alexander Sarkissian,615,31,44,16,0
Daniel Gimeno-Traver,616,36,44,17,0
Harry Bourchier,617,26,44,20,0
Juan Sebastian Gomez,618,30,44,25,0
Nicolae Frunza,619,24,44,28,0
Yusuke Takahashi,620,24,44,34,1
Andrea Basso,621,28,44,35,1
Daniel Cox,622,31,43,9,0
Rogerio Dutra Silva,623,38,43,9,0
Jack Pinnington Jones,624,18,43,14,0
Cannon Kingsley,625,20,43,17,0
Leandro Riedi,626,20,43,20,0
Alfredo Perez,627,24,43,21,0
Daniele Capecchi,628,26,43,25,0
Makoto Ochi,629,25,43,36,0
Tsung-Hua Yang,630,30,42,17,0
Alen Avidzba,631,22,42,23,0
Federico Zeballos,632,33,42,27,0
Luke Johnson,633,27,42,28,0
Arthur Reymond,634,22,42,34,1
Vaclav Safranek,635,27,41,23,0
Yannick Mertens,636,34,41,32,1
Mariano Kestelboim,637,26,41,35,1
Kai Wehnelt,638,26,41,36,3
Alexandru Jecan,639,33,41,36,1
Facundo Arguello,640,29,40,12,0
Fajing Sun,641,25,40,13,0
Matteo Gigante,642,20,40,14,0
Hamad Medjedovic,643,18,40,18,0
Yuki Mochizuki,644,24,40,21,0
Gerardo Lopez Villasenor,645,26,40,25,0
Martin Krumich,646,19,40,28,0
Imanol Lopez Morillo,647,22,40,31,0
Conner Huertas del Pino,648,26,40,37,1
Mick Veldheer,649,25,40,39,2
Ze Zhang,650,31,39,14,0
Miguel Damas,651,22,39,24,0
Antoine Cornut-Chauvinc,652,21,39,24,0
Tomas Lipovsek Puches,653,28,39,27,0
Marco Brugnerotto,654,25,39,27,0
Savriyan Danilov,655,21,39,31,0
Thomas Fancutt,656,27,39,33,0
Eliot Spizzirri,657,20,38,7,0
Marcelo Arevalo,658,31,38,10,0
Daniel Cukierman,659,26,38,17,0
Sekou Bangoura,660,30,38,28,0
Christoph Negritu,661,27,38,29,0
Manish Sureshkumar,662,22,38,29,0
Ezekiel Clark,663,23,38,29,0
Evan Zhu,664,23,38,36,0
Hugo Nys,665,31,37,7,0
Andres Artunedo Martinavarro,666,28,37,15,0
Tristan Schoolkate,667,21,37,20,0
Arjun Kadhe,668,28,37,20,0
Enrico Dalla Valle,669,23,37,22,0
Martin Damm,670,18,37,26,0
Colin Sinclair,671,27,37,33,0
Alexander Cozbinov,672,26,37,34,0
Steve Darcis,673,37,36,10,0
Henry Patten,674,25,36,13,0
Ryan James Storrie,675,24,36,16,0
Illya Beloborodko,676,20,36,18,0
Terence Atmane,677,20,36,28,0
Ryota Tanuma,678,26,36,28,0
Matthew Christopher Romios,679,22,36,32,0
Harry Wendelken,680,20,35,18,0
Luca Giacomini,681,24,35,24,0
Aleksandre Metreveli,682,28,35,26,0
Ryan Nijboer,683,22,35,36,0
Lorenzo Bocchi,684,24,35,36,1
Luca Castelnuovo,685,25,35,37,2
Santiago Giraldo,686,34,34,8,0
Johan Tatlot,687,25,34,20,0
Peter Bertran,688,26,34,25,0
Tim Smyczek,689,34,33,6,0
Moerani Bouzige,690,22,33,9,0
Karim-Mohamed Maamoun,691,30,33,23,0
Dominik Palan,692,21,33,28,0
Benjamin Winter Lopez,693,23,33,28,0
Ignacio Carou,694,22,33,34,0
