tournament_name,tournament_location,tournament_date,tournament_draw,tournament_surface,tournament_financial_commitment
Western & Southern Open,"Cincinnati, United States",2022.08.14,SGL 16 DBL 16,Outdoor Hard,
Winston-Salem Open,"Winston-Salem, United States",2022.08.21,SGL 16 DBL 16,Outdoor Hard,
US Open,United States,2022.08.29,SGL 16 DBL 16,Outdoor Hard,
Moselle Open,"Metz, France",2022.09.19,SGL 16 DBL 16,Outdoor Hard,
The Astana Open,"Nur-Sultan, Kazakhstan",2022.09.19,SGL 16 DBL 16,Outdoor Hard,
Laver Cup,"London, Great Britain",2022.09.23,SGL 16 DBL 16,Outdoor Hard,
Chengdu Open,"Chengdu, China",2022.09.26,SGL 16 DBL 16,Outdoor Hard,
Sofia Open,"Sofia, Bulgaria",2022.09.26,SGL 16 DBL 16,Outdoor Hard,
Zhuhai Championships,"Zhuhai, China",2022.09.26,SGL 16 DBL 16,Outdoor Hard,
China Open,"Beijing, China",2022.10.03,SGL 16 DBL 16,Outdoor Hard,
Rakuten Japan Open Tennis Championships,"Tokyo, Japan",2022.10.03,SGL 16 DBL 16,Outdoor Hard,
Rolex Shanghai Masters,"Shanghai, China",2022.10.09,SGL 16 DBL 16,Outdoor Hard,
European Open,"Antwerp, Belgium",2022.10.17,SGL 16 DBL 16,Outdoor Hard,
Stockholm Open,"Stockholm, Sweden",2022.10.17,SGL 16 DBL 16,Outdoor Hard,
VTB Kremlin Cup (Suspended),"Moscow, Russia",2022.10.17,SGL 16 DBL 16,Outdoor Hard,
Erste Bank Open,"Vienna, Austria",2022.10.24,SGL 16 DBL 16,Outdoor Hard,
Swiss Indoors Basel,"Basel, Switzerland",2022.10.24,SGL 16 DBL 16,Outdoor Hard,
Rolex Paris Masters,"Paris, France",2022.10.31,SGL 16 DBL 16,Outdoor Hard,
Intesa Sanpaolo Next Gen ATP Finals,"Milan, Italy",2022.11.08,SGL 16 DBL 16,Outdoor Hard,
Nitto ATP Finals,"Turin, Italy",2022.11.13,SGL 16 DBL 16,Outdoor Hard,
